Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)",Notes,,,
Abarkouh 007 **,,Official,,2020,"Yazd, Iran",L6§,1050 g,111,,"(31.396530, 53.841480)  ",,,"(31.396530, 53.841480)  ","(31.396530, 53.841480)"
Adrar Sottouf 001 **,,Official,,2020,"Dakhla, Western Sahara",H4,830 g,110,,"(22.256110, -15.155830)  ",,,"(22.256110, -15.155830)  ","(22.256110, -15.155830)  "
Akka 001 **,,Official,,2020,"South, Morocco",Acapulcoite,21 g,109,,"(29.080000, -8.857220)  ",,,"(29.080000, -8.857220)  ","(29.080000, -8.857220)  "
Akka 002,,Official,,2020,"South, Morocco",L6,80 g,110,,"(29.232500, -8.375830)  ",,,"(29.232500, -8.375830)  ","(29.232500, -8.375830)  "
Al Haggounia 011 **,,Official,,2020,"Saguia el Hamra, Western Sahara",L6,25 kg,110,,"(27.320000, -12.128000)  ",,,"(27.320000, -12.128000)  ","(27.320000, -12.128000)  "
Amtoudi **,,Official,,2020,"South, Morocco",LL3.15,550 g,111,,"(29.232780, -9.146110)  ",,,"(29.232780, -9.146110)  ","(29.232780, -9.146110)  "
Arguin 001 **,,Official,,2020,"Dakhlet Nouadhibou, Mauritania",CBa,823 g,111,,"(20.720410, -16.074990)  ",,,"(20.720410, -16.074990)  ","(20.720410, -16.074990)  "
Assa 001,,Official,,2020,"South, Morocco",H5§,490 g,110,,"(28.669170, -9.349720)  ",,,"(28.669170, -9.349720)  ","(28.669170, -9.349720)  "
Awsserd 002 **,,Official,,2020,Western Sahara,Pallasite,427 g,110,,"(22.607000, -14.508000)  ",,,"(22.607000, -14.508000)  ","(22.607000, -14.508000)  "
Awsserd 003,,Official,,2020,Western Sahara,H5,376 g,110,,"(22.610280, -14.826670)  ",,,"(22.610280, -14.826670)  ","(22.610280, -14.826670)  "
Aydar 006 **,,Official,,2020,"South, Morocco",H3,1020 g,110,,"(27.909810, -10.181030)  ",,,"(27.909810, -10.181030)  ","(27.909810, -10.181030)  "
Ben Kesbes 002 **,,Official,,2020,"Ouargla, Algeria",Martian (shergottite),29.3 g,110,,"(30.567350, 4.960780)  ",,,"(30.567350, 4.960780)  ","(30.567350, 4.960780)  "
Bonnie Claire 003 **,,Official,,2020,"Nevada, USA",CO3,60.4 g,112,,"(37.229000, -117.025000)  ",,,"(37.229000, -117.025000)  ","(37.229000, -117.025000)  "
Bordj Omar Driss 001 **,BOD 001,Official,,2020,"Ouargla, Algeria",Eucrite-melt breccia,2.4 kg,110,,"(28.603830, 6.003750)  ",,,"(28.603830, 6.003750)  ","(28.603830, 6.003750)  "
Boura 001 **,,Official,,2020,"Adrar, Algeria",H4,7 kg,110,,"(26.666220, -1.229480)  ",,,"(26.666220, -1.229480)  ","(26.666220, -1.229480)  "
Calama 138 **,,Official,,2020,"Antofagasta, Chile",CO3,69 g,110,,"(-22.407220, -68.827500)  ",,,"(-22.407220, -68.827500)  ","(-22.407220, -68.827500)  "
Calama 140,,Official,,2020,"Antofagasta, Chile",H5§,14.9 g,110,,"(-22.433300, -68.778440)  ",,,"(-22.433300, -68.778440)  ","(-22.433300, -68.778440)  "
Calama 141,,Official,,2020,"Antofagasta, Chile",H5§,20.2 g,110,,"(-22.442780, -68.796840)  ",,,"(-22.442780, -68.796840)  ","(-22.442780, -68.796840)  "
Calama 142,,Official,,2020,"Antofagasta, Chile",H5§,42.9 g,110,,"(-22.442780, -68.796830)  ",,,"(-22.442780, -68.796830)  ","(-22.442780, -68.796830)  "
Calama 199 **,,Official,,2020,"Antofagasta, Chile",CK3,295 g,111,,"(-22.317220, -68.697220)  ",,,"(-22.317220, -68.697220)  ","(-22.317220, -68.697220)  "
Calama 429 **,,Official,,2020,"Antofagasta, Chile",H5,28.4 g,112,,"(-22.479920, -68.789730)  ",,,"(-22.479920, -68.789730)  ","(-22.479920, -68.789730)  "
Calama 430,,Official,,2020,"Antofagasta, Chile",H5§,26 g,112,,"(-22.459560, -68.776800)  ",,,"(-22.459560, -68.776800)  ","(-22.459560, -68.776800)  "
Calama 454,,Official,,2020,"Antofagasta, Chile",L6§,750 g,112,,"(-22.479310, -68.788860)  ",,,"(-22.479310, -68.788860)  ","(-22.479310, -68.788860)  "
Calama 531 **,,Official,,2020,"Antofagasta, Chile",L4-5,141.2 g,113,,"(-22.488670, -68.889100)  ",,,"(-22.488670, -68.889100)  ","(-22.488670, -68.889100)  "
Calama 534,,Official,,2020,"Antofagasta, Chile",H4,390 g,113,,"(-22.454150, -68.775080)  ",,,"(-22.454150, -68.775080)  ","(-22.454150, -68.775080)  "
Calama 556,,Official,,2020,"Antofagasta, Chile",H4,26.8 g,113,,"(-22.475470, -68.822300)  ",,,"(-22.475470, -68.822300)  ","(-22.475470, -68.822300)  "
Calama 557 **,,Official,,2020,"Antofagasta, Chile",H4,48.1 g,113,,"(-22.491080, -68.875380)  ",,,"(-22.491080, -68.875380)  ","(-22.491080, -68.875380)  "
Calama 600,,Official,,2020,"Antofagasta, Chile",H6,71.7 g,113,,"(-22.364810, -68.596450)  ",,,"(-22.364810, -68.596450)  ","(-22.364810, -68.596450)  "
Caleta el Cobre 050 **,CeC 050,Official,,2020,"Antofagasta, Chile",Achondrite-ung,1590 g,109,,"(-24.250000, -70.516670)  ",,,"(-24.250000, -70.516670)  ","(-24.250000, -70.516670)  "
Caleta el Cobre 053,CeC 053,Official,,2020,"Antofagasta, Chile",H5§,1590 g,110,,"(-24.213920, -70.250750)  ",,,"(-24.213920, -70.250750)  ","(-24.213920, -70.250750)  "
Caleta el Cobre 064 **,CeC 064,Official,,2020,"Antofagasta, Chile",LL7,221 g,110,,"(-24.211060, -70.226810)  ",,,"(-24.211060, -70.226810)  ","(-24.211060, -70.226810)  "
Cargo Muchacho Mountains (c) **,,Official,,2020,"California, USA",L4,219 g,110,,"(32.922080, -114.766630)  ",,,"(32.922080, -114.766630)  ","(32.922080, -114.766630)  "
Catalina 383,,Official,,2020,"Antofagasta, Chile",L6§,143 g,110,,"(-25.095080, -69.894640)  ",,,"(-25.095080, -69.894640)  ","(-25.095080, -69.894640)  "
Catalina 397 **,,Official,,2020,"Antofagasta, Chile",H6,1220 g,110,,"(-25.228610, -69.812500)  ",,,"(-25.228610, -69.812500)  ","(-25.228610, -69.812500)  "
Catalina 408,,Official,,2020,"Antofagasta, Chile",L6§,663 g,112,,"(-25.229170, -69.813890)  ",,,"(-25.229170, -69.813890)  ","(-25.229170, -69.813890)  "
Cavezzo **,,Official,Yc,2020,"Emilia-Romagna, Italy",L5-an,55.3 g,109,,"(44.828890, 10.972220)  ",,,"(44.828890, 10.972220)  ","(44.828890, 10.972220)  "
Chestnut Ridge **,,Official,,2020,"Tennessee, USA",H5,2.92 kg,112,,"(35.330670, -86.534670)  ",,,"(35.330670, -86.534670)  ","(35.330670, -86.534670)  "
Chwichiya 006 **,,Official,,2020,"Saguia el Hamra, Western Sahara",Ureilite,244 g,109,,"(27.127960, -11.209260)  ",,,"(27.127960, -11.209260)  ","(27.127960, -11.209260)  "
Chwichiya 007 **,,Official,,2020,"Saguia el Hamra, Western Sahara",LL6,75 g,110,,"(27.410830, -11.074170)  ",,,"(27.410830, -11.074170)  ","(27.410830, -11.074170)  "
