Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)",,
Allan Hills A79001 **,ALHA79001,Official,,1979,Antarctica,L3.5,32.3 g,76,4(1) ANSMET,"(-76.703060, 159.389440)  ",,
Allan Hills A79002 **,ALHA79002,Official,,1979,Antarctica,H6,223 g,76,4(1) ANSMET,"(-76.703060, 159.391660)  ",,
Allan Hills A79003 **,ALHA79003,Official,,1979,Antarctica,LL3.4,5.1 g,76,4(1) ANSMET,"(-76.689170, 159.361110)  ",,
Allan Hills A79004 **,ALHA79004,Official,,1979,Antarctica,H5,34.9 g,76,4(1) ANSMET,"(-76.703060, 159.393060)  ",,
Allan Hills A79005 **,ALHA79005,Official,,1979,Antarctica,H6,60 g,76,4(1) ANSMET,"(-76.701390, 159.353610)  ",,
Allan Hills A79006 **,ALHA79006,Official,,1979,Antarctica,H5,41 g,76,4(1) ANSMET,"(-76.701670, 159.353330)  ",,
Allan Hills A79007 **,ALHA79007,Official,,1979,Antarctica,L6,142.3 g,76,4(1) ANSMET,"(-76.697780, 159.346110)  ",,
Allan Hills A79008 **,ALHA79008,Official,,1979,Antarctica,H5,12 g,76,4(1) ANSMET,"(-76.704720, 159.323340)  ",,
Allan Hills A79009 **,ALHA79009,Official,,1979,Antarctica,H5,75.7 g,76,4(1) ANSMET,"(-76.701940, 159.394440)  ",,
Allan Hills A79010 **,ALHA79010,Official,,1979,Antarctica,H5,25.1 g,76,4(1) ANSMET,"(-76.693060, 159.326660)  ",,
Allan Hills A79011 **,ALHA79011,Official,,1979,Antarctica,H5,14 g,76,4(1) ANSMET,"(-76.702500, 159.366670)  ",,
Allan Hills A79012 **,ALHA79012,Official,,1979,Antarctica,H5,191.9 g,76,4(1) ANSMET,"(-76.716670, 159.666670)  ",,
Allan Hills A79013 **,ALHA79013,Official,,1979,Antarctica,H5,28.3 g,76,4(1) ANSMET,"(-76.703610, 159.334440)  ",,
Allan Hills A79014 **,ALHA79014,Official,,1979,Antarctica,H5,10.8 g,76,4(1) ANSMET,"(-76.716670, 159.666670)  ",,
Allan Hills A79015 **,ALHA79015,Official,,1979,Antarctica,H5,64 g,76,4(1) ANSMET,"(-76.705280, 159.326940)  ",,
Allan Hills A79016 **,ALHA79016,Official,,1979,Antarctica,H6,1146 g,76,4(1) ANSMET,"(-76.716670, 159.666670)  ",,
Allan Hills A79017 **,ALHA79017,Official,,1979,Antarctica,Eucrite-pmict,310 g,76,3(3) ANSMET,"(-76.701390, 159.353610)  ",,
Allan Hills A79018 **,ALHA79018,Official,,1979,Antarctica,L6,120.7 g,76,4(1) ANSMET,"(-76.702780, 159.393330)  ",,
Allan Hills A79019 **,ALHA79019,Official,,1979,Antarctica,H6,12.1 g,76,4(1) ANSMET,"(-76.689720, 159.363330)  ",,
Allan Hills A79020 **,ALHA79020,Official,,1979,Antarctica,H6,4.2 g,76,4(1) ANSMET,"(-76.681940, 159.320000)  ",,
Allan Hills A79021 **,ALHA79021,Official,,1979,Antarctica,H5,29.4 g,76,4(1) ANSMET,"(-76.695560, 159.355550)  ",,
Allan Hills A79022 **,ALHA79022,Official,,1979,Antarctica,L3.7-4,31.4 g,76,4(2) ANSMET,"(-76.701940, 159.393890)  ",,
Allan Hills A79023 **,ALHA79023,Official,,1979,Antarctica,H4,68.1 g,76,4(1) ANSMET,"(-76.703060, 159.392780)  ",,
Allan Hills A79024 **,ALHA79024,Official,,1979,Antarctica,H6,21.6 g,76,4(1) ANSMET,"(-76.716670, 159.666670)  ",,
Allan Hills A79025 **,ALHA79025,Official,,1979,Antarctica,H5,1208 g,76,4(1) ANSMET,"(-76.716670, 159.666670)  ",,
Allan Hills A79026 **,ALHA79026,Official,,1979,Antarctica,H5,572 g,76,4(1) ANSMET,"(-76.716670, 159.666670)  ",,
Allan Hills A79027 **,ALHA79027,Official,,1979,Antarctica,L6,133.2 g,76,4(1) ANSMET,"(-76.699720, 159.098890)  ",,
Allan Hills A79028 **,ALHA79028,Official,,1979,Antarctica,H6,16.3 g,76,4(1) ANSMET,"(-76.702220, 159.366110)  ",,
Allan Hills A79029 **,ALHA79029,Official,,1979,Antarctica,H5,506 g,76,4(1) ANSMET,"(-76.716670, 159.666670)  ",,
Allan Hills A79030,ALHA79030,Pseudo,,1979,Antarctica,Terrestrial rock,,, ANSMET,,,
Allan Hills A79031 **,ALHA79031,Official,,1979,Antarctica,H5,2.7 g,76,4(1) ANSMET,"(-76.703060, 159.393060)  ",,
Allan Hills A79032,ALHA79032,Official,,1979,Antarctica,H5,2.6 g,76,4(1) ANSMET,"(-76.703060, 159.392780)  ",,
Allan Hills A79033 **,ALHA79033,Official,,1979,Antarctica,L6,281 g,76,4(1) ANSMET,"(-76.699170, 159.357780)  ",,
Allan Hills A79034,ALHA79034,Official,,1979,Antarctica,H6,12.6 g,76,4(1) ANSMET,"(-76.708890, 159.311670)  ",,
Allan Hills A79035,ALHA79035,Official,,1979,Antarctica,H4,37.6 g,76,4(1) ANSMET,"(-76.698330, 159.340560)  ",,
Allan Hills A79036 **,ALHA79036,Official,,1979,Antarctica,H5,20.2 g,76,4(1) ANSMET,"(-76.703890, 159.180000)  ",,
Allan Hills A79037,ALHA79037,Official,,1979,Antarctica,H6,14.8 g,76,4(1) ANSMET,"(-76.701940, 159.368330)  ",,
Allan Hills A79038 **,ALHA79038,Official,,1979,Antarctica,H5,49.7 g,76,4(1) ANSMET,"(-76.703060, 159.392780)  ",,
Allan Hills A79039 **,ALHA79039,Official,,1979,Antarctica,H4,108.3 g,76,4(1) ANSMET,"(-76.716670, 159.666670)  ",,
Allan Hills A79040,ALHA79040,Official,,1979,Antarctica,H5,13.2 g,76,4(1) ANSMET,"(-76.700560, 159.401110)  ",,
Allan Hills A79041,ALHA79041,Official,,1979,Antarctica,H5,20.1 g,76,4(1) ANSMET,"(-76.690280, 159.364170)  ",,
Allan Hills A79042,ALHA79042,Official,,1979,Antarctica,H5,11.5 g,76,4(1) ANSMET,"(-76.689170, 159.365000)  ",,
Allan Hills A79043,ALHA79043,Official,,1979,Antarctica,L6,62.2 g,76,4(1) ANSMET,"(-76.703060, 159.370830)  ",,
Allan Hills A79044,ALHA79044,Pseudo,,1979,Antarctica,Terrestrial rock,,, ANSMET,,,
Allan Hills A79045 **,ALHA79045,Official,,1979,Antarctica,L3.5,115.4 g,76,4(1) ANSMET,"(-76.702780, 159.401390)  ",,
Allan Hills A79046,ALHA79046,Official,,1979,Antarctica,H5,89.7 g,76,4(1) ANSMET,"(-76.701670, 159.368890)  ",,
Allan Hills A79047,ALHA79047,Official,,1979,Antarctica,H5,19.3 g,76,4(1) ANSMET,"(-76.701940, 159.364720)  ",,
Allan Hills A79048,ALHA79048,Official,,1979,Antarctica,H5,36.7 g,76,4(1) ANSMET,"(-76.716670, 159.666670)  ",,
Allan Hills A79049,ALHA79049,Official,,1979,Antarctica,H6,54 g,76,4(1) ANSMET,"(-76.716670, 159.666670)  ",,
Allan Hills A79050,ALHA79050,Official,,1979,Antarctica,H5,27 g,76,4(1) ANSMET,"(-76.693060, 159.326660)  ",,
Allan Hills A79051,ALHA79051,Official,,1979,Antarctica,H5,23.9 g,76,4(1) ANSMET,"(-76.704720, 159.323890)  ",,
Allan Hills A79052,ALHA79052,Official,,1979,Antarctica,L6,22.6 g,76,4(1) ANSMET,"(-76.689440, 159.363330)  ",,
Allan Hills A79053,ALHA79053,Official,,1979,Antarctica,H5,86.1 g,76,4(1) ANSMET,"(-76.698060, 159.341950)  ",,
Allan Hills A79054,ALHA79054,Official,,1979,Antarctica,H5,36 g,76,4(1) ANSMET,"(-76.695280, 159.356110)  ",,
Allan Hills A79055,ALHA79055,Official,,1979,Antarctica,H6,15.3 g,76,4(1) ANSMET,"(-76.701950, 159.368610)  ",,
Beaver-Harrison **,,Official,,1979,"Utah, USA",L6,925 g,59,,"(38.484170, -113.136390)  ",,
Belgica 7901,B-7901,Official,,1979,Antarctica,L6,3.58 g,, NIPR,"(-72.583330, 31.250000)  ",,
Belgica 7902,B-7902,Official,,1979,Antarctica,L6,13.7 g,, NIPR,"(-72.583330, 31.250000)  ",,
