Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)"
Allan Hills 99500 **,ALH 99500,Official,,1999,Antarctica,CM2,13.6 g,85,24(1) ANSMET,"(-76.716670, 159.666670)  "
Allan Hills 99501,ALH 99501,Official,,1999,Antarctica,H6,20.3 g,85,24(1) ANSMET,"(-76.716670, 159.666670)  "
Allan Hills 99502,ALH 99502,Official,,1999,Antarctica,L5¶,13.7 g,85,24(1) ANSMET,"(-76.716670, 159.666670)  "
Allan Hills 99503,ALH 99503,Official,,1999,Antarctica,H4,36.1 g,85,24(1) ANSMET,"(-76.716670, 159.666670)  "
Allan Hills 99504,ALH 99504,Official,,1999,Antarctica,H6¶,186 g,85,24(1) ANSMET,"(-76.716670, 159.666670)  "
Allan Hills 99505,ALH 99505,Official,,1999,Antarctica,H6¶,454 g,85,24(1) ANSMET,"(-76.716670, 159.666670)  "
Allan Hills 99506,ALH 99506,Official,,1999,Antarctica,H5¶,1009 g,85,24(1) ANSMET,"(-76.716670, 159.666670)  "
Areshima,,Official,,1999,"Agadez, Niger",LL3.7,114.3 g,87,,"(18.212330, 10.177670)  "
Arivaca **,,Official,,1999,"Arizona, USA",Eucrite-mmict,30.1 g,94,,"(31.593910, -111.370230)  "
Asab,,Official,,1999,"Namaland, Namibia",H5,1530 g,85,,"(-25.433330, 17.916670)  "
Bacqueville **,,Official,,1999,"Haute-Normandie, France",H6,395 g,87,,"(49.326472, 1.355106)  "
Beer Bottle Pass **,,Official,,1999,"Nevada, USA",L5,8.9 g,84,,"(35.661170, -115.333330)  "
Bilanga **,,Official,Y,1999,"Gnagna, Burkina Faso",Diogenite,25 kg,84,,"(12.450000, -0.083330)  "
Bluewing 002,,Official,,1999,"Nevada, USA",H5,23 g,86,,"(40.241480, -118.947630)  "
Bluewing 003,,Official,,1999,"Nevada, USA",L6,95 g,86,,"(40.267520, -118.943080)  "
Bluewing 004,,Official,,1999,"Nevada, USA",L5,113 g,86,,"(40.275370, -118.946100)  "
Bluewing 005,,Official,,1999,"Nevada, USA",L5,7.2 kg,86,,"(40.285630, -118.946570)  "
Bluewing 006,,Official,,1999,"Nevada, USA",L6,355 g,86,,"(40.283380, -118.948080)  "
Bluewing 007,,Official,,1999,"Nevada, USA",L4,324 g,86,,"(40.282470, -118.948720)  "
Bluewing 030,,Official,,1999,"Nevada, USA",H5,18.8 g,98,,"(40.266670, -118.933330)  "
Bluewing 031,,Official,,1999,"Nevada, USA",H5,170 g,98,,"(40.266670, -118.933330)  "
Bluewing 032,,Official,,1999,"Nevada, USA",L5,78 g,100,,"(40.266670, -118.933330)  "
Bluewing 033,,Official,,1999,"Nevada, USA",L5,287 g,98,,"(40.266670, -118.933330)  "
Bluewing 034,,Official,,1999,"Nevada, USA",H5,34 g,98,,"(40.266670, -118.933330)  "
Bluewing 035,,Official,,1999,"Nevada, USA",L6,12.6 g,98,,"(40.266670, -118.933330)  "
Bluewing 036,,Official,,1999,"Nevada, USA",L6,10.5 g,98,,"(40.266670, -118.933330)  "
Catalina 003 **,,Official,,1999,"Antofagasta, Chile","Iron, IVB",3.18 kg,101,,"(-25.204670, -69.828580)  "
