name,reclass,mass,fall,year,latitude,longitude,coordinates,,decade,address,ccode,country
abarkouh 007 **,l6§,1050 g,,2020,31.39653,53.84148,"31.396530, 53.841480",,2010,"yazd, iran",IR,"Iran, Islamic Republic of"
adrar sottouf 001 **,h4,830 g,,2020,22.25611,-15.15583,"22.256110, -15.155830",,2010,"dakhla, western sahara",EH,Western Sahara
akka 001 **,acapulcoite,21 g,,2020,29.08,-8.85722,"29.080000, -8.857220",,2010,"south, morocco",MA,Morocco
akka 002,l6,80 g,,2020,29.2325,-8.37583,"29.232500, -8.375830",,2010,"south, morocco",MA,Morocco
al haggounia 011 **,l6,25 kg,,2020,27.32,-12.128,"27.320000, -12.128000",,2010,"saguia el hamra, western sahara",EH,Western Sahara
amtoudi **,ll3.15,550 g,,2020,29.23278,-9.14611,"29.232780, -9.146110",,2010,"south, morocco",MA,Morocco
arguin 001 **,cba,823 g,,2020,20.72041,-16.07499,"20.720410, -16.074990",,2010,"dakhlet nouadhibou, mauritania",MR,Mauritania
assa 001,h5§,490 g,,2020,28.66917,-9.34972,"28.669170, -9.349720",,2010,"south, morocco",MA,Morocco
awsserd 002 **,pallasite,427 g,,2020,22.607,-14.508,"22.607000, -14.508000",,2010,western sahara,EH,Western Sahara
awsserd 003,h5,376 g,,2020,22.61028,-14.82667,"22.610280, -14.826670",,2010,western sahara,EH,Western Sahara
aydar 006 **,h3,1020 g,,2020,27.90981,-10.18103,"27.909810, -10.181030",,2010,"south, morocco",MA,Morocco
ben kesbes 002 **,martian (shergottite),29.3 g,,2020,30.56735,4.96078,"30.567350, 4.960780",,2010,"ouargla, algeria",DZ,Algeria
bonnie claire 003 **,co3,60.4 g,,2020,37.229,-117.025,"37.229000, -117.025000",,2010,"nevada, usa",US,United States
bordj omar driss 001 **,eucrite-melt breccia,2.4 kg,,2020,28.60383,6.00375,"28.603830, 6.003750",,2010,"ouargla, algeria",DZ,Algeria
boura 001 **,h4,7 kg,,2020,26.66622,-1.22948,"26.666220, -1.229480",,2010,"adrar, algeria",DZ,Algeria
calama 138 **,co3,69 g,,2020,-22.40722,-68.8275,"-22.407220, -68.827500",,2010,"antofagasta, chile",CL,Chile
calama 140,h5§,14.9 g,,2020,-22.4333,-68.77844,"-22.433300, -68.778440",,2010,"antofagasta, chile",CL,Chile
calama 141,h5§,20.2 g,,2020,-22.44278,-68.79684,"-22.442780, -68.796840",,2010,"antofagasta, chile",CL,Chile
calama 142,h5§,42.9 g,,2020,-22.44278,-68.79683,"-22.442780, -68.796830",,2010,"antofagasta, chile",CL,Chile
calama 199 **,ck3,295 g,,2020,-22.31722,-68.69722,"-22.317220, -68.697220",,2010,"antofagasta, chile",CL,Chile
calama 429 **,h5,28.4 g,,2020,-22.47992,-68.78973,"-22.479920, -68.789730",,2010,"antofagasta, chile",CL,Chile
calama 430,h5§,26 g,,2020,-22.45956,-68.7768,"-22.459560, -68.776800",,2010,"antofagasta, chile",CL,Chile
calama 454,l6§,750 g,,2020,-22.47931,-68.78886,"-22.479310, -68.788860",,2010,"antofagasta, chile",CL,Chile
