id,mass
1,2000000
2,600
3,55400
4,51800
5,374
6,5460
7,113600
8,566
9,276
10,4480
11,5120
12,1990
13,27000
14,12
15,929
16,34500
17,5470
18,2500
19,747
20,270
21,172
22,158
23,73
24,68
25,100000
26,5400
27,39
28,609
29,309
30,238
31,540
32,1360
33,13000
34,4380
35,
36,8740
37,144
38,38
39,71
40,32
41,33
42,52
43,16
44,35
45,25
46,522
47,137
48,15
49,70
50,140
51,15
52,10
53,235
54,815
55,190
56,628
57,71000
58,715
59,138
60,150
61,62
62,38
63,41
64,25
65,10
66,10
67,40000
68,1760
69,134
70,18
71,57
72,1800
73,12000
74,4400
75,1245
76,548
77,937
78,538
79,386
80,1861
81,20
82,7400
83,25250
84,10000
85,164
86,895
87,22
88,4
89,1
90,8810
91,5
92,1500
93,11310
94,75
95,606
96,13
97,1638
98,462
99,141
100,22
101,118
102,82
103,65
104,94
105,49
106,12
107,26
108,34
109,50
110,728
111,472000
112,460
113,283
114,3270
115,411
116,500000
117,3480
118,11000
119,9200
120,256
121,210
122,500
123,817
124,10820
125,230
126,20
127,94
128,9500
129,98
130,687
131,2100
132,67
133,43
134,1443
135,4000
136,4400
137,32380
138,3600
139,305000
140,2000
141,3240
142,596
143,6000
144,1711
145,227
146,2500
147,107000
148,10000
149,0
150,150000
151,630000
152,12280
153,37850
154,20
155,6
156,
157,117
158,4180
159,100000
160,13000
161,68000
162,7250
163,3500
164,127000
165,2300
166,2600
167,
168,2970
169,591
170,20000
171,3540
172,40
173,271000
174,516
175,1700
176,1615
177,5920
178,41800
179,44000
180,64000
181,2520
182,3920
183,20350
184,3600
185,123
186,3300
187,450000
188,6700
189,2200
190,
191,2700
192,185
193,21820
194,
195,
196,72
197,1875
198,542
199,2000
200,7780
201,11700
202,4300
203,3
204,6
205,2000
206,14040
207,4200
208,14
209,2000
210,1
211,190
212,2600
213,1184
214,8140
215,18
216,3850
217,1959
218,860
219,260000
220,14000
221,372
222,94
223,263
224,77
225,4100
226,27900
227,6000
228,15600
229,11340
230,8800
231,9000
232,4400
233,222
234,12000
235,344
236,1600
237,861
238,2
239,12610
240,272000
241,19900
242,1245
243,1070
244,34300
245,
246,17500
247,121
248,7600
249,343
250,45000
251,166
252,2100
253,992
254,132700
255,26000
256,41300
257,
258,16000
259,266
260,1304
261,21800
262,16
263,6
264,8
265,37
266,3
267,27
268,5
269,117
270,1800
271,9720
272,894
273,353
274,7700
275,45760
276,631
277,7000
278,13000
279,
280,5390
281,1269
282,11880
283,56930
284,5900
285,463
286,3960
287,2400
288,893
289,8800
290,2270
291,11360
292,6800
293,450
294,25400
295,1250
296,21000
297,16700
298,10700
299,74600
300,738
301,5600
302,39000
303,45300
304,179
305,34700
306,4960
307,927
308,13000
309,9780
310,1000
311,1250
312,8220
313,1215
314,19700
315,4000
316,19000
317,7650
318,18000
319,90000
320,4000
321,1108
322,38000
323,935
324,28000
325,2500
326,375
327,12900
328,1520
329,283000
330,3950
331,17800
332,2400
333,2300
334,8360
335,8200
336,454
337,2750
338,10000
339,8100
340,964
341,145
342,6
343,6240
344,43900
345,1760
346,500
347,3760
348,5300
349,5860
350,860
351,1626
352,303000
353,19
354,24000
355,20930
356,15700
357,
358,
359,3200
360,34
361,330000
362,15
363,1926
364,1500
365,103
366,15300
367,1560
368,73
369,5000
370,84
371,696
372,1013
373,5030
374,36000
375,32
376,223
377,5
378,35
379,60
380,41
381,142
382,12
383,76
384,25
385,14
386,192
387,28
388,11
389,64
390,1146
391,310
392,121
393,12
394,4
395,29
396,31
397,68
398,22
399,1208
400,572
401,133
402,16
403,506
404,3
405,3
406,281
407,13
408,38
409,20
410,15
411,50
412,108
413,13
414,20
415,12
416,62
417,115
418,90
419,19
420,37
421,54
422,27
423,24
424,23
425,86
426,36
427,15
428,925
429,4
430,14
431,185
432,1234
433,5
434,1500
435,1600
436,1964
437,1400
438,16550
439,54
440,910
441,123
442,1000
443,
444,2120
445,20500
446,8
447,19050
448,1000
449,700
450,593
451,10
452,5
453,25
454,2
455,24
456,13
457,44500
458,6200
459,1200
460,1360
461,62
462,4
463,0
464,4
465,5
466,50
467,29
468,80
469,11
470,12
471,51
472,8
473,4
474,9
475,4
476,10
477,86
478,4
479,4
480,1
481,3
482,3
483,3
484,3
485,0
486,1
487,6
488,1
489,0
490,4
491,5
492,4
493,4
494,2
495,1
496,1
497,3
498,162
499,44
500,3
501,46
502,15
503,22
504,14
505,40
506,51
507,30
508,18
509,21
510,24
511,15
512,14
513,13
514,18
515,11
516,14
517,15
518,12
519,14
520,10
521,10
522,14
523,11
524,11
525,10
526,10
527,9
528,9
529,9
530,6
531,7
532,6
533,5
534,7
535,4
536,6
537,6
538,5
539,7
540,4
541,4
542,3
543,3
544,4
545,2
546,3
547,2
548,3
549,2
550,2
551,2
552,2
553,3
554,2
555,2
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,24
567,19
568,24
569,51
570,191
571,151
572,12
573,11
574,3
575,10
576,110
577,7
578,10
579,6
580,7
581,6
582,57
583,107
584,2
585,5
586,60
587,1
588,39
589,84
590,52
591,92
592,4
593,4
594,16
595,8
596,8
597,4
598,8
599,10
600,35
601,8
602,8
603,4
604,7
605,3
606,88
607,7
608,7
609,9
610,64
611,19
612,3
613,41
614,44
615,27
616,287
617,5
618,235
619,5
620,5
621,18
622,9
623,6
624,223
625,5
626,17
