name,year,place,type,mass,coordinates,latitude,longitude
abarkouh 007 **,2020,"yazd, iran",l6§,1050 g,"31.396530, 53.841480",31.39653,53.84148
adrar sottouf 001 **,2020,"dakhla, western sahara",h4,830 g,"22.256110, -15.155830",22.25611,-15.15583
akka 001 **,2020,"south, morocco",acapulcoite,21 g,"29.080000, -8.857220",29.08,-8.85722
akka 002,2020,"south, morocco",l6,80 g,"29.232500, -8.375830",29.2325,-8.37583
al haggounia 011 **,2020,"saguia el hamra, western sahara",l6,25 kg,"27.320000, -12.128000",27.32,-12.128
amtoudi **,2020,"south, morocco",ll3.15,550 g,"29.232780, -9.146110",29.23278,-9.14611
arguin 001 **,2020,"dakhlet nouadhibou, mauritania",cba,823 g,"20.720410, -16.074990",20.72041,-16.07499
assa 001,2020,"south, morocco",h5§,490 g,"28.669170, -9.349720",28.66917,-9.34972
awsserd 002 **,2020,western sahara,pallasite,427 g,"22.607000, -14.508000",22.607,-14.508
awsserd 003,2020,western sahara,h5,376 g,"22.610280, -14.826670",22.61028,-14.82667
aydar 006 **,2020,"south, morocco",h3,1020 g,"27.909810, -10.181030",27.90981,-10.18103
ben kesbes 002 **,2020,"ouargla, algeria",martian (shergottite),29.3 g,"30.567350, 4.960780",30.56735,4.96078
bonnie claire 003 **,2020,"nevada, usa",co3,60.4 g,"37.229000, -117.025000",37.229,-117.025
bordj omar driss 001 **,2020,"ouargla, algeria",eucrite-melt breccia,2.4 kg,"28.603830, 6.003750",28.60383,6.00375
boura 001 **,2020,"adrar, algeria",h4,7 kg,"26.666220, -1.229480",26.66622,-1.22948
calama 138 **,2020,"antofagasta, chile",co3,69 g,"-22.407220, -68.827500",-22.40722,-68.8275
calama 140,2020,"antofagasta, chile",h5§,14.9 g,"-22.433300, -68.778440",-22.4333,-68.77844
calama 141,2020,"antofagasta, chile",h5§,20.2 g,"-22.442780, -68.796840",-22.44278,-68.79684
calama 142,2020,"antofagasta, chile",h5§,42.9 g,"-22.442780, -68.796830",-22.44278,-68.79683
calama 199 **,2020,"antofagasta, chile",ck3,295 g,"-22.317220, -68.697220",-22.31722,-68.69722
calama 429 **,2020,"antofagasta, chile",h5,28.4 g,"-22.479920, -68.789730",-22.47992,-68.78973
calama 430,2020,"antofagasta, chile",h5§,26 g,"-22.459560, -68.776800",-22.45956,-68.7768
calama 454,2020,"antofagasta, chile",l6§,750 g,"-22.479310, -68.788860",-22.47931,-68.78886
calama 531 **,2020,"antofagasta, chile",l4-5,141.2 g,"-22.488670, -68.889100",-22.48867,-68.8891
calama 534,2020,"antofagasta, chile",h4,390 g,"-22.454150, -68.775080",-22.45415,-68.77508
calama 556,2020,"antofagasta, chile",h4,26.8 g,"-22.475470, -68.822300",-22.47547,-68.8223
calama 557 **,2020,"antofagasta, chile",h4,48.1 g,"-22.491080, -68.875380",-22.49108,-68.87538
calama 600,2020,"antofagasta, chile",h6,71.7 g,"-22.364810, -68.596450",-22.36481,-68.59645
caleta el cobre 050 **,2020,"antofagasta, chile",achondrite-ung,1590 g,"-24.250000, -70.516670",-24.25,-70.51667
caleta el cobre 053,2020,"antofagasta, chile",h5§,1590 g,"-24.213920, -70.250750",-24.21392,-70.25075
caleta el cobre 064 **,2020,"antofagasta, chile",ll7,221 g,"-24.211060, -70.226810",-24.21106,-70.22681
cargo muchacho mountains (c) **,2020,"california, usa",l4,219 g,"32.922080, -114.766630",32.92208,-114.76663
catalina 383,2020,"antofagasta, chile",l6§,143 g,"-25.095080, -69.894640",-25.09508,-69.89464
catalina 397 **,2020,"antofagasta, chile",h6,1220 g,"-25.228610, -69.812500",-25.22861,-69.8125
catalina 408,2020,"antofagasta, chile",l6§,663 g,"-25.229170, -69.813890",-25.22917,-69.81389
cavezzo **,2020,"emilia-romagna, italy",l5-an,55.3 g,"44.828890, 10.972220",44.82889,10.97222
chestnut ridge **,2020,"tennessee, usa",h5,2.92 kg,"35.330670, -86.534670",35.33067,-86.53467
chwichiya 006 **,2020,"saguia el hamra, western sahara",ureilite,244 g,"27.127960, -11.209260",27.12796,-11.20926
chwichiya 007 **,2020,"saguia el hamra, western sahara",ll6,75 g,"27.410830, -11.074170",27.41083,-11.07417
chwichiya 008 **,2020,"saguia el hamra, western sahara",eucrite,97.5 g,"27.386670, -11.758060",27.38667,-11.75806
daoura 002 **,2020,"bechar, algeria",h6,70 kg,"29.695290, -3.055870",29.69529,-3.05587
dekkaliat **,2020,"hodh el gharbi, mauritania",diogenite,1830 g,"15.798330, -8.999440",15.79833,-8.99944
dhofar 2123,2020,oman,unknown,48.6 g,"19.560120, 54.193770",19.56012,54.19377
djadjarm **,2020,"khorasan, iran",l6,3.1 kg,"36.865550, 56.229450",36.86555,56.22945
